category,Sonnenschein
So 09.03.,10.6
Mo 10.03.,10
Di 11.03.,0
Mi 12.03.,2.4
Do 13.03.,1.2
Fr 14.03.,2.5
Sa 15.03.,4.3
So 16.03.,10.3
Mo 17.03.,5.2
Di 18.03.,11
Mi 19.03.,11.3
Do 20.03.,11.4
Fr 21.03.,9.5
Sa 22.03.,3
So 23.03.,3.5
Mo 24.03.,4.5
Di 25.03.,6.4
Mi 26.03.,0.1
Do 27.03.,11.8
Fr 28.03.,11.9
Sa 29.03.,9.7
So 30.03.,2.7
Mo 31.03.,5
Di 01.04.,11.3
Mi 02.04.,12.2
Do 03.04.,12.1
Fr 04.04.,12.4
Sa 05.04.,12.3
So 06.04.,12.5
Mo 07.04.,12.6
Di 08.04.,12.7
Mi 09.04.,9.8
Do 10.04.,4.9
Fr 11.04.,12.8
Sa 12.04.,12
So 13.04.,3.2
Mo 14.04.,10.8
Di 15.04.,2.7
Mi 16.04.,0
Do 17.04.,0
Fr 18.04.,6
Sa 19.04.,10.6
So 20.04.,6.7
Mo 21.04.,4.1
Di 22.04.,6.8
Mi 23.04.,0.5
Do 24.04.,0
Fr 25.04.,1.9
Sa 26.04.,11.8
So 27.04.,13.9
Mo 28.04.,13.9
Di 29.04.,13.8
Mi 30.04.,14
Do 01.05.,13.5
Fr 02.05.,13.5
Sa 03.05.,2
